"Timestamp","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Quelle version du contenu avez-vous préférée?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Quelle version du contenu avez-vous préférée?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Quelle version du contenu avez-vous préférée?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Quelle version du contenu avez-vous préférée?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Quelle version du contenu avez-vous préférée?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?","Quelle version du contenu avez-vous préférée?","Comment évalueriez-vous la qualité visuelle générale du contenu (la netteté de l'image)?","Comment évalueriez-vous la qualité visuelle au fil du temps, tout au long de la lecture?","Comment évalueriez-vous votre confort au cours de la vidéo?","Comment évalueriez-vous la réactivité du système à vos mouvements de tête?","Comment évalueriez-vous le temps disponible pour profiter de la vidéo?","Des commentaires sur la durée de la vidéo?"
"2019/01/11 2:33:09 PM GMT+1","3","4","2","4","3","Scene 1 et 2 : ""je vois des pixels""
secne 3 et 4: ""pas clair, qualité d'image pas terrible et sombre""","La dernière (celle que vous venez de voir)","4","4","4","4","4","- scene plus net
- plus net mais pixelisation
- gene lorsqu'il tourne la tete
- gene lorsqu'il tourne la tete
Meilleur qualité d'image","3","5","3","4","5","Match de boxe. ""le ring est bien mais probleme lorsque je tourne et qualité des spectateurs très mediocre""","La dernière (celle que vous venez de voir)","4","3","4","5","5","Meilleur qualité, ""ca se passe bien lorsque je tourne"", ""qualité de l'image varie au cours du temps"", ""pixalisation à la fin""","5","5","5","5","4","-  j'aimerai savoir ou je suis, c'est net, ca me plait, tout defile rapidemment
- ahhhh voila, ca ressemble à mon simulateur de vol
- Perte d'équilibre","La première (la précédente)","5","5","4","5","5","- de llement plus rapide, ciel de qualité inférieure à la video precedente
- meme qualité que precedemment, beau re et de soleil
- scene genante car mouvement de camera donne mauvvaise sensation mais bonne qualité","3","4","3","4","3","Bar ref
pas bonne qualité, envie de voir des reflets sur le sol, visage non clair au debut puis amelioration","La dernière (celle que vous venez de voir)","4","5","4","4","5","Bar effet
Video plus clair, vu des reflets et des visage, ca me plait mais manque de fluidité","3","3","4","4","3","Underwater effect
ON est dans l'eau. Qualité à ameliorer, un peu pixéliser","La dernière (celle que vous venez de voir)","4","4","4","4","4","Underwater ref
bonne qualité du plongeur et surface de l'eau mais de l'autre coté pixéliser (fond vert)","3","5","4","4","3","paysage pas clair au loin, pas assez net, ""chateau!""","La dernière (celle que vous venez de voir)","3","5","4","4","4","meme scene, toujours pas très net au loin, personnes qui marchent en bas sont un peu ou. Presque pareil que la precedente, meilleur
fluidité de mouvement"
"2019/01/15 4:02:53 PM GMT+1","3","3","4","5","4","-
- lag
- freeze
- destabisé un peu mais sympa

destabilisant","La première (la précédente)","4","4","2","2","3","- affichage plus grand un peu genant
- trop près, ""vidéo tourne avec moi"" , VW un peu genant
- changement d'orientation
- voit mieux, VW apercu

","3","3","4","4","3","tout va bien, drop de qualité, changement d'angle de vue assez sympa","La dernière (celle que vous venez de voir)","4","4","3","4","4","""impression d'etre trop près"", changement de vue non brutal et non genant","4","4","4","5","4","- temps accéléré, traffic rapide, assez sympa
- trou noir au dessus et en dessous, sympa, belle vision
- sympa dans l'ensemble, déplacement un peu perturbant car caméra bouge un peu trop vite","La dernière (celle que vous venez de voir)","4","5","4","5","3","- beaucoup plus fluide, (petite pause au début de vidéo), batiment plus net sauf au loin
- un peu plus fluide, petits freezes
- mouvement beacoup trop rapide, moins de temps que dans la précédente","3","3","3","4","5","enormement de freezes, cercle blanc au pied de la caméra un peu genant","La dernière (celle que vous venez de voir)","4","4","3","4","4","plus net, toujours des freezes, beaucoup plus fluide (mouvement de tete)","3","3","4","4","4","beaucoup de lag, incompréhension de l'environnement, ""ca lag moins à un moment"", assez fluide( mouvement de tete et deplacement de la camera), amélioration de la qualité vidéo","La dernière (celle que vous venez de voir)","4","4","4","5","4","freeze mais fluidité de vidéo mieux, meilleur qualité vidéo, agréable","4","3","4","3","2","qualité très mauvaise au début, ","La dernière (celle que vous venez de voir)","5","5","5","5","4","mouvement tete plus fluide, plus net, sympa"
"2019/01/15 5:08:36 PM GMT+1","3","4","4","5","4","- ""sourire"", trèsn net
- bonne immersion, pixelisation d'un coup j'usqu'à la fin
- pixelisation, freeze et traits sur le coté de temps en temps
- un peu pixelisé, centrale bonne qualité et pas sur les coté, sensation bizarre a cause du mouvement","La première (la précédente)","5","5","3","3","4","- comme tout à l'heure mais bug lorsque tourne la tete
- bug lorsque tourne la tete, effet bizarre qui empeche de regarder ou on veut
- bug lorsque tourne la tete, ""mini vertige""
- 

pas de pixelisation mais ""mini vertige"" ennuyant","4","5","4","3","5","impressionnant, bug lorsque tourne la tete","La première (la précédente)","3","4","4","5","5","pas mal, pas de barriere mais pixelisation à certain endroits ( public pas net)","5","5","5","5","5","- très beau
- beaux payasages
- ","La première (la précédente)","4","5","5","5","5","- qualité moins bien mais pas flagrant
- image sacadé, freeze des hélices 
- déplacement caméra sacadé, plus lent au début","4","5","5","5","4","- sympa, bonne ambiance, logo au pied bizarre","La première (la précédente)","4","5","5","5","4","parait un peu plus lent, moins de découverte de l'environnement","5","5","5","5","4","trop beau, plongeur qui nous suit flippant, ""sourire""","La dernière (celle que vous venez de voir)","5","5","5","5","4","pareil, très jolie, peu de différence, un peu plus net","5","5","4","5","4","jolie chateau, (micro pause au début), position de survol bizarre,
moins immersif car on vol","La première (la précédente)","5","5","4","5","4","video moins rapide"
"2019/01/15 6:04:26 PM GMT+1","4","4","5","4","5","- beaucoup plus immersif qu'une vidéo normale, ""ressent les mouvements du pilote""
- semble apprécier la vidéo
- 
- 

super sympa
vue les VW mais pas genant","La première (la précédente)","2","2","3","5","5","- pas besoin de tourner la tete pour suivre la voiture contrairement à l'autre
- gros block de pixels de temps en temps
- phases de qualité moins bien
- 

difficile de voir loin","4","4","5","5","4","camera immobile
petit bout pixéliser au milieu de la video","La dernière (celle que vous venez de voir)","4","5","5","5","4","pareil que la précédente
camera se bloque lorsque regarde en bas","4","5","5","5","5","- jolie vue, bonne sensation de vide lorsque l'on regarde en bas
- ""sourire""
- immersif

agréable en général","La première (la précédente)","3","4","5","5","5","- qualité plus basse que la precedente
- 
- mouvement caméra moins fluide/acoups au début","4","5","5","5","3","sympa, belles couleurs","La première (la précédente)","4","5","5","5","3","plus d'acoups, ","4","5","5","5","3","""sourire"", ""jolie""","La première (la précédente)","3","4","5","5","3","acoups au début lorsqu'il tournait la tete, un peu moins jolie a cause de qualité (moindre)","3","5","5","5","4","""sourire"", qualité des passants pas assez élevé","La première (la précédente)","3","5","5","5","4","dédoublement du toit, meme qualité que precedent"
"2019/01/16 4:39:51 PM GMT+1","3","3","4","4","4","- bizarre à cause du mouvement
- pixelisation à un moment, pixel encore une fois a la fin, mal a l'aise
- jolie, pixel, petit freeze
- ""sourire"", ciel de mauvaise qualité avec un trait, envie de vomir, peu clair , qualité pas top","La dernière (celle que vous venez de voir)","4","4","2","2","3","- 
- impression que la video va moins vite, ""horrible lorsque tourne la tete, vu bloqué""
- mal a l'aise à cause video precedente et mouvement camera
- flou mais moins que la precedente","5","4","4","3","5","on voit plutot bien et non mouvement de la camera appreciable, meilleure qualité que VM2, peu pas tourner la tete a gauche (mur), meilleur qualité a la fin","La première (la précédente)","4","3","4","4","5","pas très net, pas net du tout, public pas net","5","4","2","5","5","- jolie vue, flou lors de la nuit, un peu le vertige mais ca va, 
- un peu mal a l'aise car impression de voler avec l'helico, pas agreable car vol pas droit
- visite pas agreable mais bien net","La dernière (celle que vous venez de voir)","5","5","4","5","5","- ""bonne video"", nuit moins floue, 
- pas agreable, bonne qualité d'image,
- moins pire que tout à l'heure, video plus lente au debut, ""mieux"", fin horrible","3","5","3","4","5","pixéliser, bizarre, pas agreable car mouvement par acoups","La dernière (celle que vous venez de voir)","3","5","3","5","5","plus net mais avance par acoups et pas agreagle","5","3","4","3","3","fluide, cercle en bas bloquer et decalage avec le haut, bien net","La première (la précédente)","5","5","2","4","5","tache bizarre, decoupage et mouvement aleatoire pas agreable, bien net","4","3","3","5","4","mouvement pas agreable, flou a certain endroits, ""pas mal, ct jolie""","La première (la précédente)","3","3","3","5","5","floue devant, un peu plus floue sur le coté"
"2019/01/16 6:01:40 PM GMT+1","3","5","3","3","5","- tete qui tourne a cause virage
- ""image reste alors que je tourne la tete"",
- petit vertige, image bloqué lorsque tourne la tete
- vitesse camera gène utilisateur, très pixéliser

plus pixélisé vers la fin","La première (la précédente)","1","3","2","2","5","- meilleure qualité que precedemment, virage donne toujours la nausée
- vitesse de camera non constante, ultra pixéliser, division de l'ecran (difference de qualité)
- qualité moins bonne que precedemment
- comme la precedente, pixéliser et trop rapide","4","3","5","5","5","image devient noire et pixéliser (2-3 fois)","La première (la précédente)","3","4","5","2","5","image bloqué quand tourne la tete, pixélisation après  snap change","4","5","3","5","5","- ""beaucoup trop haut"", vertige
- impression d'etre au ralenti, petit vertige, qualité pas mauvaise
- virage violent => ""Ouhhhhhh!"" car changement de vitesse","La dernière (celle que vous venez de voir)","5","5","5","5","5","- qualité moins bonne, couleur change pixel par pixel, voiture moins sacadé
- vitesse helicoptere normal => moins genant, helices bizarres
- vitesse plus constante => pas de virage dangereux","3","5","4","5","4","vitesse très lente, ","La première (la précédente)","2","5","3","5","4","plus rapide mais pas assez, poosition camera moins stable","4","5","1","5","5","horrible, n'aime pas l'eau, angoissant","La dernière (celle que vous venez de voir)","5","5","2","3","5","image bloqué lorsque tourne la tete, meilleure qualité","3","5","4","5","4","qualité pas top, ","La première (la précédente)","5","4","3","3","4","camera va plus vite => nausé, meilleure qualité, reactivité moins bonne"
"2019/01/17 11:45:36 AM GMT+1","4","3","5","2","5","- ""pas mal"", ""cool"", decor pixelisé, 
- très pixélisé, et plus net d'une coup, temps d'adaptation lorsque change de direction rapidemment (plus pixélisé)
- 
- ""pas mal du tout"", decor arriere pixélisé ","La première (la précédente)","2","3","1","1","5","- lag au début puis revient net
- lag au debut, ""problème pendant que je tourne la tete = > pas agreable""
- net, mur sur le coté très perturbant
- ca lag
","5","4","5","5","4","""super cool"", super fluide, un peu de pixel à un moment, aime","La dernière (celle que vous venez de voir)","5","5","5","5","4","fluide, remarque la transition, ""pas mal"", moins pixéliser que la precedente","4","4","5","5","5","- sensation d'etre au dessus du vide mais pas de vertige
- jolie vue, fluide, ""experience sympa""
- pixéliser, détails flou, fluide mais qualité pauvre","La première (la précédente)","5","4","3","3","5","- pas fluide, delai apres mouvement, sacadé si mouvement rapide de la tete
- helice perturbante car pas assez d'images de l'helice, mouvement sacadé
- sacade de partout mais image plus net","3","5","2","3","5","sacade de partout, pas du tout agréable car sacadé et pixeliser","La dernière (celle que vous venez de voir)","2","5","4","5","5","plus fluide mais plus pixélisé, ""mieux"", ""prefere comme ca""","4","4","5","5","3","lent au debut, ""pas mal du tout"", fluide, bien animé","La première (la précédente)","4","5","4","5","3","sacade au debut, dure à differencier les 2 video","4","5","5","5","3","""pas mal"", un peu pixélisé mais super fluide, détails au loin pas assez précis","La dernière (celle que vous venez de voir)","5","5","5","5","3","meilleur qualité et meme fluidité, donc meilleure vidéo"
"2019/01/17 2:21:24 PM GMT+1","3","4","5","3","4","- 
- 
- ""plaisant""
- ""sourire à cause du dragon"", bug lorsque tourne la tete

basse qualité après avoir tourné la tete","La première (la précédente)","2","1","3","3","3","- bonne qualité
- qualité vidéo baisse par rapport à celle d'avant
- qualité mauvaise, couleurs différentes par rapport à la dernière vidéo
- qualité vidéo plus basse que la precedente

+ de lag qu'avant","4","3","4","3","2","bonne qualité, spectateurs pas clairs, bonne experience, problème lorsque tourne la tete","La première (la précédente)","1","2","3","4","3","basse qualité, spectateurs de basse qualité, lag pour charger les couleurs","4","4","4","4","3","- 
- 
- ","La première (la précédente)","4","2","3","4","4","- + de lag au niveau du traffic, meme qualité d'image
- lags, pas comme avant, qualité plus basse qu'avant
- lags, qualité plus basse qu'avant ","1","3","2","2","1","image pas trop nette, ","La dernière (celle que vous venez de voir)","3","4","4","3","2","image plus nette","3","4","4","3","1","bonne qualité, confortable et pas de lags","La dernière (celle que vous venez de voir)","4","4","4","4","3","pas de problème lorsque tourne la tete, meilleur qualité , peu de difference avec la precedente","3","4","4","2","1","image pas nette pour objets distants","La première (la précédente)","3","3","2","2","1","pas de lags cette fois, meme qualité"
"2019/01/17 3:15:27 PM GMT+1","3","4","4","5","4","- ""wouahhhh"", ""on se sent vraiment dans la voiture"", ""impression de pouvoir voyager avec ca""
- ""marrant"", ""wouahh""
- ""wouah"", petit sursaut, ca fait un peu peur,  impression d'immersion
- ""wouahhhh"", dragon fait peur (=> esquive), ""on pourrai presque avoir le vertige""","La première (la précédente)","4","5","5","4","4","- images plus nettes, ""aime etre dans la voiture""
-  ""sourire""
- immersion facile, sourire
- sourire, un peu le vertige, vol plus rapidemment","4","5","5","5","4","""oohhhh"", ""ahhhh"" (snap change),","La première (la précédente)","3","5","4","5","4","meme video, ","4","5","5","5","3","- ""ohhhhh"", ""wouahhhh"", ""c'est jolie"", 
- ""wouah"", impression de voler avec l'helico, adore le paysage, sourire,
- ","La dernière (celle que vous venez de voir)","4","5","5","5","5","- bizarre de pas voir ses pieds
- aime bien cette scene, point noir en bas => essaie d'interagir avec ses mains
- ","5","5","4","5","4","Wouah, marque en bas","La première (la précédente)","3","5","5","5","4","ca va","4","5","5","5","3","wouah !, sourire, ","La première (la précédente)","4","5","4","5","4","""ahhhhh, peur du plongeur derriere, pendant 1 seconde""","4","5","5","5","3","""wouahhhh"",  très jolie, agreable","La première (la précédente)","2","5","4","5","3","prefererai pouvoir marcher au lieu de voler"
"2019/01/17 4:38:00 PM GMT+1","3","3","5","5","3","- ""trop stylé"", peur 1 seconde car au milieu de la route
- sourire, bugs de qualité
- ""ouhhhhh""(armoire me tombe dessus), ""trop bien""
- qualité pourrie, arrrive pas à distinguer les formes des soldats, bon experience","La première (la précédente)","4","3","2","3","4","- bug quand tourne la tete => ""trop bizarre""
- bug quand tourne la tete => mal à l'aise mais marrant
- bug quand tourne la tete
- meilleure qualité
","3","3","3","4","4","cool, mais quailté ""bof bof"", bug quand tourne la tete, peut pas regardé derriere","La dernière (celle que vous venez de voir)","2","3","4","5","4","qualité pareil avec quelques drop de qualité","4","4","4","5","2","- ""trop bien !"", bonne qualité, ""la meilleure de toutes les vidéos""
- bonne qualité, vidéo sympa, ""trop bien""
- qualité bien, ","La première (la précédente)","3","3","4","4","3","- mauvaise qualité, largement moins bonnne qualité qu'avant, moment ou qualité OK mais cela change
- moins bonne qualité, 
- sacadé, ""video nulle""","4","4","4","3","4","video ralenti et sacadé","La première (la précédente)","2","2","3","4","3","qualité horrible, ","3","3","3","4","2","""je deteste les poissons"" (phobie), video cool, qualité pas top","La première (la précédente)","2","2","3","3","2","qualité nulle, sacadé","3","3","4","4","4","c'est beau mais qualité bof, ","La première (la précédente)","2","2","3","4","4","qualité pire qu'avant, "
